name,type,data,command,depend,seed,path,time,size,bytes,format,repository,iteration,parent,children,seconds,warnings,error
status_colors,object,10fd1789c9064bc6,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
spls_table_optim_keepX,function,7ab8ec221a06712e,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
make_integration_suppl_tables,function,9b4cda2ee9acdb0b,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
make_prefiltering_comparison_plot,function,937fe4e1984f0841,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
make_methods_comparison_plot,function,b9d13fc78c006cd4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
make_prefiltering_suppl_table,function,b4c9f121b7106447,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
make_mofa_enrichment_table,function,8a9d850e7c069d7e,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
make_mofa_features_plot,function,8c525cf5ecac432a,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
make_composite_pca_plot,function,b44b257b14159363,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
make_integration_samples_score_plot,function,0d1ea2dbdf612ccb,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
fmetadata_file_geno_full,stem,0307be50a57013ec,77e1bce38e4c2af8,2c530c1562a7fbd1,918123183,,2025-09-16T22:31:04Z,3041e0fb9653079c,4402316,file,local,vector,NA,,0.79,NA,NA
dataset_file_geno_reduced,stem,08b634e8125402e0,99456da6b9793b92,2c530c1562a7fbd1,1164211454,,2025-09-16T22:07:12Z,e96edcfc6133282a,6850822,file,local,vector,NA,,0.004,NA,NA
dataset_file_geno_full,stem,18258859f157b9b2,50d0e48ea629b6ad,2c530c1562a7fbd1,1093261311,,2025-09-16T22:31:04Z,3c877e15c40f9aa7,25464607,file,local,vector,NA,,0.001,NA,NA
